Date,Capital financiero - acumulado,Precio por libra,Capital financiero,Ventas,Costos
2035-08-01,148400997846.50946,5200.879288327762,1028246415.0035877,1028814705.0035877,568290.0
2035-09-01,149429244261.51312,2887.145694543127,570553972.4797388,571122262.4797388,568290.0
2035-10-01,149999798233.99298,4823.031255014223,953502205.1539019,954070495.1539019,568290.0
2035-11-01,150953300439.1468,3818.760498865513,754841850.9230942,755410140.9230942,568290.0
2035-12-01,151708142290.06995,3715.877648169705,734490025.0450957,735058315.0450957,568290.0
2036-01-01,152442632315.1151,3639.0398253147787,719290310.2139854,719858600.2139854,568290.0
2036-02-01,153161922625.32904,3535.4763300928967,698803842.2767341,699372132.2767341,568290.0
2036-03-01,153860726467.60565,5506.803316918257,1088762939.5716937,1089331229.5716937,568290.0
2036-04-01,154949489407.1775,4854.4668220939375,959720648.5898649,960288938.5898649,568290.0
2036-05-01,155909210055.76727,5056.945521287935,999774080.2563709,1000342370.2563709,568290.0
2036-06-01,156908984136.02362,5994.319328294224,1185201178.8813312,1185769468.8813312,568290.0
2036-07-01,158094185314.90485,4164.2269392522885,823180478.7302853,823748768.7302853,568290.0
2036-08-01,158917365793.635,3889.0460424571197,768745423.1437572,769313713.1437572,568290.0
2036-09-01,159686111216.77863,4604.636769503577,910300383.7447207,910868673.7447207,568290.0
2036-10-01,160596411600.52344,4904.80717573141,969678752.4423319,970247042.4423319,568290.0
2036-11-01,161566090352.96576,2739.4671022994107,541340853.1413326,541909143.1413326,568290.0
2036-12-01,162107431206.10724,4853.888756404382,959606298.2177638,960174588.2177638,568290.0
2037-01-01,163067037504.325,3307.92461138218,653790577.9074128,654358867.9074128,568290.0
2037-02-01,163720828082.23242,3651.15558495438,721686995.656673,722255285.656673,568290.0
2037-03-01,164442515077.88916,2675.250205887741,528637753.5930905,529206043.5930905,568290.0
2037-04-01,164971152831.4823,4495.648626144602,888740836.1485285,889309126.1485285,568290.0
2037-05-01,165859893667.63068,4881.072153971811,964983596.4780972,965551886.4780972,568290.0
2037-06-01,166824877264.10864,3279.078969113809,648084461.8267,648652751.8267,568290.0
2037-07-01,167472961725.93542,5136.2519459365685,1015462122.8654135,1016030412.8654135,568290.0
2037-08-01,168488423848.80072,4829.499493063569,954781723.1068693,955350013.1068693,568290.0
2037-09-01,169443205571.9077,2963.502410684884,585658516.930276,586226806.930276,568290.0
2037-10-01,170028864088.83795,3682.15295201485,727818756.3225621,728387046.3225621,568290.0
2037-11-01,170756682845.16058,3727.0691547019414,736703878.8673424,737272168.8673424,568290.0
2037-12-01,171493386724.02808,4045.784376824858,799750700.1931976,800318990.1931976,568290.0
2038-01-01,172293137424.22125,2868.2553305342294,566817165.0674151,567385455.0674151,568290.0
2038-02-01,172859954589.2887,3212.7915058825174,634971772.00081,635540062.00081,568290.0
2038-03-01,173494926361.28943,6916.930545627778,1367708007.971613,1368276297.971613,568290.0
2038-04-01,174862634369.26093,5072.591750762975,1002869147.4689301,1003437437.4689301,568290.0
2038-05-01,175865503516.7298,5102.583700416837,1008802020.9553174,1009370310.9553174,568290.0
2038-06-01,176874305537.685,4373.515538701426,864581014.4408745,865149304.4408745,568290.0
2038-07-01,177738886552.12592,5721.364083942649,1131206391.9177136,1131774681.9177136,568290.0
2038-08-01,178870092944.04364,4069.1377184381304,804370353.8961066,804938643.8961066,568290.0
2038-09-01,179674463297.93982,4054.8815956393373,801550271.3757044,802118561.3757044,568290.0
2038-10-01,180476013569.31555,4110.086466635986,812470652.3191044,813038942.3191044,568290.0
2038-11-01,181288484221.63458,5434.666343572715,1074493125.7886844,1075061415.7886844,568290.0
2038-12-01,182362977347.42316,4412.882189670573,872368349.458378,872936639.458378,568290.0
2039-01-01,183235345696.88147,5679.505865285631,1122926186.1116986,1123494476.1116986,568290.0
2039-02-01,184358271882.99323,4684.062574256179,926012041.5925794,926580331.5925794,568290.0
2039-03-01,185284283924.58594,2988.1985985922747,590543806.4876932,591112096.4876932,568290.0
2039-04-01,185874827731.07367,5017.228777689778,991917491.4790953,992485781.4790953,568290.0
2039-05-01,186866745222.55286,3728.503957565209,736987705.1595279,737555995.1595279,568290.0
2039-06-01,187603732927.71246,4707.630346059162,930674112.9176137,931242402.9176137,568290.0
2039-07-01,188534407040.62994,3581.1515830660574,707839116.7579182,708407406.7579182,568290.0
2039-08-01,189242246157.38776,5312.402113359347,1050307362.0041338,1050875652.0041338,568290.0
2039-09-01,190292553519.39185,6184.513216768382,1222824484.1757214,1223392774.1757214,568290.0
2039-10-01,191515378003.56757,4403.538729327186,870520067.8767484,871088357.8767484,568290.0
2039-11-01,192385898071.44446,4870.262144274445,962845208.6553226,963413498.6553226,568290.0
2039-12-01,193348743280.09985,4994.969213816494,987514204.0020723,988082494.0020723,568290.0
2040-01-01,194336257484.10193,1158.257881368218,228553109.3780404,229121399.3780404,568290.0
2040-02-01,194564810593.47998,4989.233438133132,986379578.481944,986947868.481944,568290.0
2040-03-01,195551190171.96204,3723.0613686242677,735911076.5309234,736479366.5309234,568290.0
